PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff,str_diff,sem_diff,sign_diff,fre_diff,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
STU10,female,25,62,master,14, , , ,J10,WC-J,J10,WC-J,1,-1,1.442313333,-1.328425,1.254076667,-2.44949,0,0,2.39045,1.93649, ,-2.65685,0,1.82574,0,1.93649,-2.44949,0
STU10,female,25,62,master,14, , , ,WC-K,WC-H,WC-H,WC-H,-1,-1,.49375,0,.645496667,0,0,2.44949,0,-.96824, ,0,0,0,0,1.93649,0,0
STU10,female,25,62,master,14, , , ,WC-K,K32,K32,WC-K,-1,1,-.227406667,.304035,.43758,0,1.93649,2.44949,-1.19522,-1.93649, ,-1.32842,1.93649,1.82574,-2.44949,1.93649,0,1.93649
STU10,female,25,62,master,14, , , ,WC-K,WC-L,WC-K,WC-K,1,1,.49375,.968245,1.254076667,0,1.93649,2.44949,0,-.96824, ,0,1.93649,1.82574,0,1.93649,0,1.93649
STU10,female,25,62,master,14, , , ,WC-K,WC-J,WC-J,WC-K,-1,1,.49375,.304035,1.254076667,0,0,2.44949,0,-.96824, ,-1.32842,1.93649,1.82574,0,1.93649,0,0
STU10,female,25,62,master,14, , , ,WC-H,K32,K32,WC-H,-1,1,-.721156667,.304035,-.207916667,0,1.93649,0,-1.19522,-.96825, ,-1.32842,1.93649,1.82574,-2.44949,0,0,1.93649
STU10,female,25,62,master,14, , , ,WC-H,WC-L,WC-H,WC-H,1,1,0,.968245,.60858,0,1.93649,0,0,0, ,0,1.93649,1.82574,0,0,0,1.93649
STU10,female,25,62,master,14, , , ,WC-H,WC-J,WC-H,WC-H,1,1,0,.304035,.60858,0,0,0,0,0, ,-1.32842,1.93649,1.82574,0,0,0,0
STU10,female,25,62,master,14, , , ,K32,WC-L,K32,WC-L,1,-1,.721156667,.66421,.816496667,0,0,0,1.19522,.96825, ,1.32842,0,0,2.44949,0,0,0
STU10,female,25,62,master,14, , , ,K32,WC-J,K32,WC-J,1,-1,.721156667,0,.816496667,0,-1.93649,0,1.19522,.96825, ,0,0,0,2.44949,0,0,-1.93649
STU10,female,25,62,master,14, , , ,WC-L,WC-J,WC-J,WC-J,-1,-1,0,-.66421,0,0,-1.93649,0,0,0, ,-1.32842,0,0,0,0,0,-1.93649
