PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff_1,str_diff_1,sem_diff_1,sign_diff_1,fre_diff_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
FS025,male,35,46,scientific staff,42,J,80, ,K13,Elevator,Elevator,Elevator,-1,-1,-1.425196667,-.275063333,-.487123333,-.92253,-.44426,-1.2831,-1.44673,-1.54576,.57104,-.41643,-.9798,-.44427,-.50855,-.50855,-.92253,-.44426
FS025,male,35,46,scientific staff,42,J,80, ,J10,WC-J,WC-J,WC-J,-1,-1,-1.69932,-.908883333,-1.143753333,-1.84506,-2.22131,-2.13849,-1.92897,-1.0305,-.57104,-1.66571,-.4899,-.88853,-1.01709,-1.52564,-1.84506,-2.22131
FS025,male,35,46,scientific staff,42,J,80, ,J10,Elevator,Elevator,Elevator,-1,-1,-1.556756667,-.69149,-1.31327,-1.84506,-.44426,-1.7108,-1.92897,-1.0305,.57104,-1.66571,-.9798,-.88853,-1.52564,-1.52564,-1.84506,-.44426
FS025,male,35,46,scientific staff,42,J,80, ,WC-J,Elevator,Elevator,Elevator,-1,-1,.142563333,.217393333,-.169516667,0,1.77705,.42769,0,0,1.14208,0,-.4899,0,-.50855,0,0,1.77705
FS026,female,28,79,scientific staff,45,L,90, ,H79,WC-K,H79,WC-K,1,-1,-2.094733333,-.718343333,-1.93649,-1.79413,0,-1.93649,-2.41122,-1.93649,-.82572,-.41643,-.91288,-1.93649,-1.93649, ,-1.79413,0
FS026,female,28,79,scientific staff,45,L,90, ,H79,K13,H79,K13,1,-1,-1.933983333,-.718343333,-.968245,-1.4353,0,-1.93649,-1.92897,-1.93649,-.82572,-.41643,-.91288,0,-1.93649, ,-1.4353,0
FS026,female,28,79,scientific staff,45,L,90, ,H79,L40, ,H79, ,1,0,1.700956667,0,.35882,-.33395,0,0,0,1.65145,2.08212,1.3693,0,0, ,.35882,-.33395
FS026,female,28,79,scientific staff,45,L,90, ,H79,L11, ,H79, ,1,-1.773236667,-.870486667,-1.93649,.35882,-2.00371,-1.93649,-1.44673,-1.93649,-.82572,-.41643,-1.36931,-1.93649,-1.93649, ,.35882,-2.00371
FS026,female,28,79,scientific staff,45,L,90, ,H79,WC-L,H79,WC-L,1,-1,-1.773236667,-.718343333,-.968245,-1.4353,-2.00371,-1.93649,-1.44673,-1.93649,-.82572,-.41643,-.91288,0,-1.93649, ,-1.4353,-2.00371
FS026,female,28,79,scientific staff,45,L,90, ,WC-K,K13,K13,WC-K,-1,1,.16075,0,.968245,.35883,0,0,.48225,0,0,0,0,1.93649,0, ,.35883,0
FS026,female,28,79,scientific staff,45,L,90, ,WC-K,L40,L40,WC-K,-1,1,2.094733333,2.4193,1.93649,2.15295,-.33395,1.93649,2.41122,1.93649,2.47717,2.49855,2.28218,1.93649,1.93649, ,2.15295,-.33395
FS026,female,28,79,scientific staff,45,L,90, ,WC-K,L11,L11,WC-K,-1,1,.321496667,-.152143333,0,2.15295,-2.00371,0,.96449,0,0,0,-.45643,0,0, ,2.15295,-2.00371
FS026,female,28,79,scientific staff,45,L,90, ,WC-K,WC-L,WC-L,WC-L,-1,-1,.321496667,0,.968245,.35883,-2.00371,0,.96449,0,0,0,0,1.93649,0, ,.35883,-2.00371
FS026,female,28,79,scientific staff,45,L,90, ,K13,L40,L40,K13,-1,1,1.933983333,2.4193,.968245,1.79412,-.33395,1.93649,1.92897,1.93649,2.47717,2.49855,2.28218,0,1.93649, ,1.79412,-.33395
FS026,female,28,79,scientific staff,45,L,90, ,K13,L11,L11,K13,-1,1,.160746667,-.152143333,-.968245,1.79412,-2.00371,0,.48224,0,0,0,-.45643,-1.93649,0, ,1.79412,-2.00371
FS026,female,28,79,scientific staff,45,L,90, ,K13,WC-L,K13,WC-L,1,-1,.160746667,0,0,0,-2.00371,0,.48224,0,0,0,0,0,0, ,0,-2.00371
FS026,female,28,79,scientific staff,45,L,90, ,L40,L11,L11,L40,-1,1,-1.773236667,-2.571443333,-1.93649,0,-1.66976,-1.93649,-1.44673,-1.93649,-2.47717,-2.49855,-2.73861,-1.93649,-1.93649, ,0,-1.66976
FS026,female,28,79,scientific staff,45,L,90, ,L40,WC-L,L40,WC-L,1,-1,-1.773236667,-2.4193,-.968245,-1.79412,-1.66976,-1.93649,-1.44673,-1.93649,-2.47717,-2.49855,-2.28218,0,-1.93649, ,-1.79412,-1.66976
FS026,female,28,79,scientific staff,45,L,90, ,L11,WC-L,L11,L11,1,1,0,.152143333,.968245,-1.79412,0,0,0,0,0,0,.45643,1.93649,0, ,-1.79412,0
FS027,male,29,76,scientific staff,24,L,90, ,K13,L11,L11,K13,-1,1,-.4781,-.308606667,-1.219686667,0,-1.81369,0,-.60858,-.82572,0,0,-.92582,-1.82574,-.60858,-1.22474,0,-1.81369
FS027,male,29,76,scientific staff,24,L,90, ,K13,H79,H79,H79,-1,-1,1.168913333,-.006213333,1.11826,1.46386,0,1.46386,1.21716,.82572,.44427,0,-.46291,.91287,1.21716,1.22475,1.46386,0
FS027,male,29,76,scientific staff,24,L,90, ,K13,L40,K13,K13,1,1,1.890986667,1.848843333,1.32112,2.19578,-.36274,2.19578,1.82574,1.65144,2.22131,1.93649,1.38873,.91287,1.82574,1.22475,2.19578,-.36274
FS027,male,29,76,scientific staff,24,L,90, ,K13,H38,H38,H38,-1,-1,.893673333,-.154303333,.81397,1.46386,0,1.46386,1.21716,0,0,0,-.46291,0,1.21716,1.22475,1.46386,0
FS027,male,29,76,scientific staff,24,L,90, ,K13,WC-L,K13,K13,1,1,1.890986667,1.700756667,.60858,2.19578,-2.17643,2.19578,1.82574,1.65144,1.77705,1.93649,1.38873,0,1.82574,0,2.19578,-2.17643
FS027,male,29,76,scientific staff,24,L,90, ,L11,H79,H79,H79,-1,-1,1.647013333,.302393333,2.337946667,1.46386,1.81369,1.46386,1.82574,1.65144,.44427,0,.46291,2.73861,1.82574,2.44949,1.46386,1.81369
FS027,male,29,76,scientific staff,24,L,90, ,L11,L40,L11,L11,1,1,2.369086667,2.15745,2.540806667,2.19578,1.45095,2.19578,2.43432,2.47716,2.22131,1.93649,2.31455,2.73861,2.43432,2.44949,2.19578,1.45095
FS027,male,29,76,scientific staff,24,L,90, ,L11,H38,H38,H38,-1,-1,1.371773333,.154303333,2.033656667,1.46386,1.81369,1.46386,1.82574,.82572,0,0,.46291,1.82574,1.82574,2.44949,1.46386,1.81369
FS027,male,29,76,scientific staff,24,L,90, ,L11,WC-L,L11,L11,1,1,2.369086667,2.009363333,1.828266667,2.19578,-.36274,2.19578,2.43432,2.47716,1.77705,1.93649,2.31455,1.82574,2.43432,1.22474,2.19578,-.36274
FS027,male,29,76,scientific staff,24,L,90, ,H79,L40,H79,H79,1,1,.722073333,1.855056667,.20286,.73192,-.36274,.73192,.60858,.82572,1.77704,1.93649,1.85164,0,.60858,0,.73192,-.36274
FS027,male,29,76,scientific staff,24,L,90, ,H79,H38,H79, ,1, ,-.27524,-.14809,-.30429,0,0,0,0,-.82572,-.44427,0,0,-.91287,0,0,0,0
FS027,male,29,76,scientific staff,24,L,90, ,H79,WC-L,H79,H79,1,1,.722073333,1.70697,-.50968,.73192,-2.17643,.73192,.60858,.82572,1.33278,1.93649,1.85164,-.91287,.60858,-1.22475,.73192,-2.17643
FS027,male,29,76,scientific staff,24,L,90, ,L40,H38,H38,H38,-1,-1,-.997313333,-2.003146667,-.50715,-.73192,.36274,-.73192,-.60858,-1.65144,-2.22131,-1.93649,-1.85164,-.91287,-.60858,0,-.73192,.36274
FS027,male,29,76,scientific staff,24,L,90, ,L40,WC-L,WC-L,WC-L,-1,-1,0,-.148086667,-.71254,0,-1.81369,0,0,0,-.44426,0,0,-.91287,0,-1.22475,0,-1.81369
FS027,male,29,76,scientific staff,24,L,90, ,H38,WC-L,H38,H38,1,1,.997313333,1.85506,-.20539,.73192,-2.17643,.73192,.60858,1.65144,1.77705,1.93649,1.85164,0,.60858,-1.22475,.73192,-2.17643
FS029,male,30,68,scientific staff,54,J,96, ,L40,WC-J,WC-J,WC-J,-1,-1,-2.17473,-.620293333,-.861626667,-1.63501,-2.55841,-1.58114,-2.53184,-2.41121,1.65144,-2.08213,-1.43019,-.95346,.545,-2.17642,-1.63501,-2.55841
FS029,male,30,68,scientific staff,54,J,96, ,L40,J10,J10,J10,-1,-1,-1.676406667,-.438903333,.862823333,-.545,-.4264,-1.58114,-1.51911,-1.92897,.82572,-1.6657,-.47673,.95346,1.63501,0,-.545,-.4264
FS029,male,30,68,scientific staff,54,J,96, ,L40,WC-H,WC-H,WC-H,-1,-1,-2.526093333,-1.902643333,-1.179446667,-2.72502,-.8528,-2.63523,-2.53184,-2.41121,-.82572,-2.49856,-2.38365,-1.90692,.545,-2.17642,-2.72502,-.8528
FS029,male,30,68,scientific staff,54,J,96, ,L40,L11,L11,L11,-1,-1,-1.17923,-.362776667,-.619803333,-.545,0,-1.05409,-1.51911,-.96449,1.65144,-.83285,-1.90692,-.95346,.545,-1.45095,-.545,0
FS029,male,30,68,scientific staff,54,J,96, ,L40,H38,H38,H38,-1,-1,-2.526093333,-1.627403333,.666516667,-.545,0,-2.63523,-2.53184,-2.41121,0,-2.49856,-2.38365,0,2.72502,-.72547,-.545,0
FS029,male,30,68,scientific staff,54,J,96, ,WC-J,J10,WC-J,WC-J,1,1,.498323333,.18139,1.72445,1.09001,2.13201,0,1.01273,.48224,-.82572,.41643,.95346,1.90692,1.09001,2.17642,1.09001,2.13201
FS029,male,30,68,scientific staff,54,J,96, ,WC-J,WC-H,WC-J,WC-J,1,1,-.351363333,-1.28235,-.31782,-1.09001,1.70561,-1.05409,0,0,-2.47716,-.41643,-.95346,-.95346,0,0,-1.09001,1.70561
FS029,male,30,68,scientific staff,54,J,96, ,WC-J,L11,L11,L11,-1,-1,.9955,.257516667,.241823333,1.09001,2.55841,.52705,1.01273,1.44672,0,1.24928,-.47673,0,0,.72547,1.09001,2.55841
FS029,male,30,68,scientific staff,54,J,96, ,WC-J,H38,H38,WC-J,-1,1,-.351363333,-1.00711,1.528143333,1.09001,2.55841,-1.05409,0,0,-1.65144,-.41643,-.95346,.95346,2.18002,1.45095,1.09001,2.55841
FS029,male,30,68,scientific staff,54,J,96, ,J10,WC-H,WC-H,WC-H,-1,-1,-.849686667,-1.46374,-2.04227,-2.18002,-.4264,-1.05409,-1.01273,-.48224,-1.65144,-.83286,-1.90692,-2.86038,-1.09001,-2.17642,-2.18002,-.4264
FS029,male,30,68,scientific staff,54,J,96, ,J10,L11,L11,L11,-1,-1,.497176667,.076126667,-1.482626667,0,.4264,.52705,0,.96448,.82572,.83285,-1.43019,-1.90692,-1.09001,-1.45095,0,.4264
FS029,male,30,68,scientific staff,54,J,96, ,J10,H38,H38,H38,-1,-1,-.849686667,-1.1885,-.196306667,0,.4264,-1.05409,-1.01273,-.48224,-.82572,-.83286,-1.90692,-.95346,1.09001,-.72547,0,.4264
